OBJECTID,ATTRIBUTE,WETLAND_TYPE,ACRES,GLOBALID,ShapeSTArea,ShapeSTLength
184,PSS1C,Freshwater Forested/Shrub Wetland,2.47865532,{A83CF3DA-5F2D-4C89-A2AB-306033DDA968},10023.71994,392.9442096
185,PSS1C,Freshwater Forested/Shrub Wetland,3.01986631,{1A622A42-8B78-438C-9222-18641DC9DA92},12211.2002,479.6362913
186,PSS3/1B,Freshwater Forested/Shrub Wetland,22.98114999,{D878A181-0166-4AC3-AF1B-5AE9463DBBEE},92928.20108,1881.793324
187,PSS1C,Freshwater Forested/Shrub Wetland,0.64144548,{A7AD1E01-63D2-435B-A9CD-18271226D8AE},2594.443176,228.9096055
188,PFOC,Freshwater Forested/Shrub Wetland,0.49805286,{5DF7593B-F71E-4B99-9C7C-5D23BC8B4147},2014.369232,169.0562563
189,PFO4/1C,Freshwater Forested/Shrub Wetland,6.83422237,{442DDB28-A8B9-4702-BE25-87201F8C1A0B},27638.13905,826.2962945
190,PEMC,Freshwater Emergent Wetland,0.39871759,{7B6EE48F-AC1A-4803-BDAD-8FBA2F64A1F9},1612.658623,166.0028248
191,PUBH,Freshwater Pond,3.38550938,{BFA86768-4F14-41A4-8430-AA8AC98C2484},13692.85172,598.6728385
192,PSSC,Freshwater Forested/Shrub Wetland,0.23236664,{8E0614DB-8AC1-4A9B-B0AA-35C2751AE2CC},939.8441162,112.9559192
193,PUBGh,Freshwater Pond,0.0731948,{3E2184EA-77ED-4557-9E19-90C9D059A585},295.9838562,67.90274449
194,PFO1C,Freshwater Forested/Shrub Wetland,1.27726468,{5B09FEA6-A343-4BAF-8400-58ABB59581CF},5166.5326,364.9061928
195,Pf,Other,0.13061348,{F194C324-1CFD-4511-9664-A10B2A2E1251},528.2269592,88.05622184
196,PFO1C,Freshwater Forested/Shrub Wetland,0.33594607,{E11E2388-2DA6-482B-B4F7-9688089908C1},1358.83152,138.6322901
197,PFO1A,Freshwater Forested/Shrub Wetland,0.47655931,{B5C58EDF-0E3D-4F49-821A-BBEC9B0D4938},1927.048431,175.0107232
198,PFO1F,Freshwater Forested/Shrub Wetland,4.65228999,{1DFDC5FF-69CC-4CA7-BE8D-6FB1D3742EC8},18840.58115,572.5749552
199,PSSC,Freshwater Forested/Shrub Wetland,1.46026118,{470C363E-269B-47F2-B5F0-1392992E9452},5908.651093,293.3302467
200,PUBF,Freshwater Pond,1.27641973,{9E8315D4-05F3-4223-B0F6-ABF0DC3EA100},5161.355865,280.7453874
201,PEMCd,Freshwater Emergent Wetland,1.57666383,{55F1DECC-3710-41A1-BD56-05EB367E45FC},6375.504822,324.4955219
202,PUBGx,Freshwater Pond,0.05356802,{78C6BDEE-FA92-43BE-84A3-90533A375D00},216.6178284,60.43570039
203,PFO1A,Freshwater Forested/Shrub Wetland,12.28659282,{98617663-9D88-4AF0-AC6B-D1245D111808},49684.10266,1268.057916
204,PFO1C,Freshwater Forested/Shrub Wetland,2.09286045,{D45548D7-1147-44F6-883A-A9D0BA33BFF5},8462.735733,392.5918546
205,PEMC,Freshwater Emergent Wetland,0.16565156,{171DF5F4-94D7-4C5A-B1F7-75349CC60F37},669.8364105,123.5964257
206,PFOB,Freshwater Forested/Shrub Wetland,107.365181,{8B296FFB-C93D-41AC-B69D-20D0EBF2469B},434370.9379,3211.925008
207,PEMC,Freshwater Emergent Wetland,0.52218984,{43301931-DDE3-4EF6-9E62-E6F816E36A4C},2111.670715,166.9472454
208,PSS1B,Freshwater Forested/Shrub Wetland,0.64484095,{468E0D89-5F4D-49FD-8B0B-DBE35D5C1B80},2608.163391,192.0956421
209,PEMA,Freshwater Emergent Wetland,1.78303495,{BE16BC00-95E5-42C5-8EA3-6A49FB625383},7210.143036,337.261577
210,PFO4C,Freshwater Forested/Shrub Wetland,57.32527341,{C73E0C5C-F399-457D-A24D-8188561E34F3},231865.9225,2897.064067
211,PEME,Freshwater Emergent Wetland,12.48814989,{76FC4222-7BE5-4D3D-90C8-17BA3BAEBC13},50510.41579,1438.916848
212,PUBGx,Freshwater Pond,0.56046547,{EF4BA05C-A971-4987-8853-11109A3ADBA0},2266.343399,210.8413885
213,PSS1C,Freshwater Forested/Shrub Wetland,0.36093314,{A0B49B49-44A3-454A-9B1A-A722340DA862},1459.770477,139.1385137
214,PEMC,Freshwater Emergent Wetland,1.23886892,{D5F892AD-1E81-476F-8DAA-02CBE9CC284F},5009.615128,314.6374959
215,PEMC,Freshwater Emergent Wetland,0.09985234,{E6A92EB8-AD9F-4CE9-A0AA-D9168F2E570B},401.9488297,71.15651622
216,PFOC,Freshwater Forested/Shrub Wetland,12.1534666,{4CEFEC62-34F4-456E-B942-ACA73883C082},49144.08698,861.5333088
217,PFO1A,Freshwater Forested/Shrub Wetland,14.65198138,{8B9AC100-CE55-490E-A6B2-9DB1169741A5},59263.38545,1655.778927
218,PUBGx,Freshwater Pond,0.86961538,{5CAA7100-7EFC-468D-9880-526FC70ECBE2},3516.416946,265.7549731
219,PEM/SS1C,Freshwater Emergent Wetland,6.56773744,{1228C03A-3F6B-4934-A3A5-26DF576ED5A2},26562.12823,1034.282295
220,PSS1B,Freshwater Forested/Shrub Wetland,34.97056834,{0779FD9A-559C-42F5-81C1-F297C8E59A47},141407.7,1793.376322
221,PEMB,Freshwater Emergent Wetland,1.12024336,{038FDC85-D8E2-441C-99D1-E5E8D58ABB55},4529.979721,270.893032
222,PFO/SSC,Freshwater Forested/Shrub Wetland,139.8562305,{EF5C016A-3919-4FBA-83E6-343323A37F77},565576.4464,7349.278225
223,PFO1C,Freshwater Forested/Shrub Wetland,1.20329154,{472443FB-36FC-4812-B5E3-DC8E2EA4EC89},4866.73111,353.986895
224,PFO1C,Freshwater Forested/Shrub Wetland,0.95838394,{1F8BD34C-38FF-423D-B2E9-DD8D464477F5},3875.624435,295.2326605
225,PFO4B,Freshwater Forested/Shrub Wetland,6.30385117,{338344E2-9DA3-4943-A040-0FE2B498D5C9},25490.44804,1191.857498
226,PEMC,Freshwater Emergent Wetland,13.47539549,{7CCECFB6-D62E-40F8-9BB7-8865E26D01A2},54496.75115,1775.572948
227,Pf,Other,0.29778122,{012AC448-B17C-466A-AF56-3DA606122C09},1204.282333,133.8313628
228,PEMF,Freshwater Emergent Wetland,0.30088787,{CF0DE1B5-CED8-4923-BDDC-C3B468131A43},1216.674759,154.9796001
229,PEMC,Freshwater Emergent Wetland,0.3654358,{43A7219D-6023-4183-8CC2-C765DEE1C016},1477.690994,146.2708741
230,PFOC,Freshwater Forested/Shrub Wetland,18.52087227,{4B24BF6A-DB30-4CFC-A69D-5C2556234FE8},74906.99742,1682.589214
231,PSSB,Freshwater Forested/Shrub Wetland,2.63487399,{46471A2C-E3C6-4E56-B41E-D684C2EC3D73},10658.48022,430.9063987
232,PFOB,Freshwater Forested/Shrub Wetland,0.57535781,{EE669C36-73FF-4159-A1F1-3B81588E5D1D},2326.656769,182.8591175
233,PFO1C,Freshwater Forested/Shrub Wetland,1.57530155,{B1F72AB9-4AD2-47CE-B105-E547E205D611},6371.653709,448.0646647
234,Pf,Other,0.1104606,{BE3BEECB-3610-4044-99F0-BBA33ECA0AEE},446.8189697,83.54207673
235,PSS1C,Freshwater Forested/Shrub Wetland,0.32946237,{0579F06E-6AB8-4F24-8064-3FB7193E7B5E},1332.222733,146.6855497
236,PSSC,Freshwater Forested/Shrub Wetland,2.12146226,{29B39E1F-A16E-452F-B538-06382D15C68C},8578.580032,514.990598
237,PAB4F,Freshwater Pond,1.5059984,{52B9224B-8E6B-4343-941B-1C76C6A14EA1},6090.586349,353.3913556
238,PUBGx,Freshwater Pond,0.4479899,{3361814C-66F9-487E-93EA-5EDDBB0F9849},1812.12677,203.347458
239,PSS1/FO1C,Freshwater Forested/Shrub Wetland,1.114,{5020E9B3-5895-4843-A312-1E688FFBD56C},4505.549652,248.6503141
240,PABG,Freshwater Pond,0.57713526,{D45EF422-8122-48BF-AE58-D0F1C23BEF7E},2334.638168,181.5794082
241,PUBHx,Freshwater Pond,0.31597102,{4C4C185F-F8B9-4D7E-96A1-F9F2266B85A1},1277.762787,141.1835461
242,PEMFb,Freshwater Emergent Wetland,0.55586384,{B72C344D-2614-4840-806D-BC008DF02B71},2248.703613,187.3200886
243,PFOC,Freshwater Forested/Shrub Wetland,123.1721091,{411037BF-566C-4A08-9E4D-3113E82B2555},498188.6966,5602.370141
244,PEMC,Freshwater Emergent Wetland,13.909581,{93786F8C-AF3C-4B2C-80FB-8003C22F0C76},56253.31765,2038.803647
245,PFO4B,Freshwater Forested/Shrub Wetland,19.77223252,{90758370-DE2A-45B4-802C-63EC0A0D9484},79952.06102,1721.045652
246,PSS1C,Freshwater Forested/Shrub Wetland,2.45572869,{B58EE635-0DDA-4800-BE9C-8A0E62FB1932},9930.872177,492.0223861
247,PSS/EMC,Freshwater Forested/Shrub Wetland,2.7273592,{64EABA66-4390-4860-A13E-E19700EB86A7},11037.77708,414.4279338
248,PFO4B,Freshwater Forested/Shrub Wetland,1.45420601,{B1118711-AD0F-4682-BD20-B6AB720FEC1D},5880.265244,325.2771218
249,PFO1A,Freshwater Forested/Shrub Wetland,1.0210487,{99B95AEC-35DB-4217-ADF9-B78302550185},4129.167953,302.4514402
250,PFO/SSC,Freshwater Forested/Shrub Wetland,26.23816013,{6A2F2997-AE4D-43D2-B42B-09CB1B214CCD},106100.7462,2525.940224
251,PFO/SSB,Freshwater Forested/Shrub Wetland,24.71281377,{4CBEE24C-85AD-4757-90A4-F6B70F3C1B7E},99952.00992,1438.218416
252,PEMC,Freshwater Emergent Wetland,0.09984777,{2DA67B54-C8F6-4D65-AC9F-5CF8F324F6AA},401.8213501,71.14988589
253,PSS1B,Freshwater Forested/Shrub Wetland,17.13261173,{48F1F2F2-BCD7-495D-A609-F0654F24F398},69289.24094,2218.959193
254,PSS1F,Freshwater Forested/Shrub Wetland,2.29533349,{4BC24BDF-26E5-4593-8277-C15FA7AEF602},9283.935776,459.6826359
255,PFO4B,Freshwater Forested/Shrub Wetland,107.2549888,{982AC184-21DC-4B6A-ABD5-5A4C50ECBD13},433700.2154,7902.978054
256,PSS/EMC,Freshwater Forested/Shrub Wetland,136.7274594,{D6E78BBB-D9F4-4F6D-A246-97E7A34A80D8},553154.4338,6893.585012
257,PSS3B,Freshwater Forested/Shrub Wetland,0.63278433,{5D16DC18-12D9-4087-A9D4-0541285001F8},2558.800209,187.1721616
258,PSS1/EMF,Freshwater Forested/Shrub Wetland,0.93256989,{02932E59-CB4C-4F2A-B616-C74DE1EF7250},3773.993534,334.9239271
259,PSS3B,Freshwater Forested/Shrub Wetland,1.57725683,{6FCB3444-88CD-4F20-ABFC-1A3B94FE5963},6377.858643,447.2953892
260,PUBF,Freshwater Pond,0.18851474,{A397C0A8-DD92-4FE2-8FEB-9FADF7503959},762.3413849,112.3813579
261,PFO1C,Freshwater Forested/Shrub Wetland,2.42044386,{28FA498B-D3A3-416E-9286-23653616E021},9788.06044,542.2522828
262,PUBGx,Freshwater Pond,1.74979619,{7EC79E24-9B9F-4E94-ABFF-56362B429727},7075.964745,584.4716152
263,PSS3B,Freshwater Forested/Shrub Wetland,7.14114907,{E837AC23-3FAD-4FC3-9083-60F869AF268F},28876.15302,1183.84635
264,PEMC,Freshwater Emergent Wetland,0.68285924,{27565E9C-E5F5-4C2B-965C-7A732F1E1945},2763.345734,198.2567102
265,PFO/SSB,Freshwater Forested/Shrub Wetland,14.38998693,{FBF62CBC-E611-4E97-924F-368FC7D9F3A0},58220.90991,1190.879171
266,PEMC,Freshwater Emergent Wetland,0.42708181,{9529FA8A-A00C-4258-98AE-70A440CBC997},1726.97699,156.8221665
267,PSS/EMC,Freshwater Forested/Shrub Wetland,4.82710957,{3EE2C477-787A-40CD-BAC5-216F30F2DD26},19534.34378,581.2673833
268,PUBF,Freshwater Pond,0.16079509,{5626BE67-AEF8-4E65-9B9C-D08A304F39B6},650.2025299,97.77356133
